,a(p(Raf)),a(p(Mek)),a(p(Erk))
791,40,61,81
792,51,66,84
793,52,62,79
794,54,73,83
795,56,70,85
796,44,59,88
797,45,63,85
798,54,72,94
799,57,76,93
800,51,74,89
801,55,70,85
802,50,62,88
803,52,60,84
804,55,71,88
805,46,54,84
806,43,60,83
807,57,78,88
808,45,56,84
809,57,70,78
810,50,63,84
811,47,66,86
812,46,60,89
813,50,64,85
814,45,60,85
815,51,61,82
816,47,61,84
817,45,67,91
818,53,59,91
819,46,57,82
820,52,70,85
821,46,69,87
822,43,59,86
823,46,59,83
824,58,57,86
825,59,67,84
826,54,70,87
827,51,68,85
828,52,63,85
829,43,64,77
830,44,60,87
831,55,69,82
832,54,62,87
833,52,58,83
834,44,61,86
835,47,70,87
836,48,71,83
837,48,57,90
838,63,69,83
839,55,61,84
840,48,60,82
841,46,60,85
842,47,55,83
843,50,66,86
844,52,64,87
845,55,68,89
846,50,67,86
847,42,61,83
848,45,61,89
849,43,66,85
850,42,63,80
851,48,62,85
852,45,62,84
853,47,56,72
854,47,63,83
855,55,65,91
856,51,65,90
857,46,63,83
858,50,59,86
859,49,63,83
860,54,70,83
861,49,67,90
862,48,62,86
863,51,64,77
864,48,59,86
865,45,57,86
866,57,65,80
867,55,71,88
868,52,67,86
869,51,65,90
870,45,71,90
871,41,62,86
872,47,52,85
873,45,64,83
874,51,68,83
875,57,64,84
876,41,56,73
877,49,48,76
878,46,60,76
879,47,58,76
880,56,66,81
881,60,62,91
882,48,68,90
883,51,60,85
884,54,66,82
885,46,63,85
886,43,64,80
887,42,58,79
888,46,64,85
889,51,73,81
890,53,61,80
891,52,60,73
892,51,63,87
893,54,60,85
894,45,62,83
895,52,71,84
896,49,67,81
897,45,64,86
898,54,68,86
899,50,59,88
900,50,62,88
901,54,70,86
902,53,72,85
903,56,66,84
904,58,67,85
905,46,71,86
906,49,56,86
907,54,70,80
908,51,52,81
909,37,49,85
910,52,71,90
911,51,70,88
912,43,63,85
913,55,59,86
914,55,69,83
915,47,56,88
916,47,57,84
917,51,72,84
918,53,64,87
919,61,70,86
920,47,55,83
921,43,65,89
922,44,58,83
923,55,69,80
924,52,75,89
925,34,55,82
926,48,61,79
927,49,63,89
928,53,76,94
929,54,60,86
930,52,70,78
931,45,63,88
932,50,67,89
933,54,65,86
934,59,61,86
935,45,56,91
936,41,55,85
937,45,59,84
938,46,58,86
939,49,57,76
940,50,66,79
941,47,61,85
942,50,54,84
943,44,64,82
944,57,70,81
945,53,64,82
