,a(p(SOS)),a(p(Ras)),a(p(PI3K)),a(p(AKT)),a(p(Raf)),a(p(Mek)),a(p(Erk))
466,39,48,64,53,38,78,84
467,43,47,58,59,32,81,92
468,46,48,68,50,35,78,87
469,48,41,68,57,33,76,89
470,42,48,60,62,29,76,87
471,51,44,63,60,38,82,87
472,45,50,69,50,37,77,87
473,49,47,60,56,33,80,88
474,50,53,72,68,36,76,93
475,37,38,67,56,36,84,85
476,47,43,59,60,38,77,84
477,47,52,63,57,49,78,87
478,52,53,66,58,36,72,93
479,50,55,66,62,29,79,89
480,54,56,73,55,45,81,84
481,49,47,66,67,33,73,87
482,39,47,69,53,44,84,91
483,48,46,65,56,41,79,89
484,47,53,70,61,37,84,87
485,47,52,72,59,46,79,87
486,49,49,63,63,38,80,84
487,45,43,61,58,37,79,91
488,33,43,58,45,39,79,92
489,52,46,70,60,34,80,91
490,59,46,66,61,34,91,90
491,43,52,54,62,34,80,87
492,48,48,67,60,34,81,90
493,45,44,68,54,29,76,82
494,36,45,64,56,34,78,89
495,51,50,62,57,25,78,90
496,43,56,71,56,36,86,90
497,48,54,76,58,38,77,86
498,49,46,64,57,31,68,88
499,52,52,59,50,41,78,91
500,41,43,67,57,28,69,89
501,47,56,65,54,38,85,85
502,48,47,63,50,34,76,91
503,41,46,59,57,37,85,91
504,49,51,69,54,41,79,82
505,48,48,71,60,37,84,91
506,50,35,63,47,29,71,92
507,42,52,56,53,36,73,91
508,48,51,61,58,40,78,91
509,42,49,64,60,37,76,86
510,40,40,62,53,37,77,87
511,44,44,60,52,38,82,91
512,47,42,67,62,28,76,83
513,48,48,63,57,37,84,96
514,53,42,64,57,35,69,91
515,53,46,67,54,37,74,89
516,37,51,53,54,40,76,92
517,45,52,72,50,37,84,86
518,47,50,60,61,38,71,88
519,37,34,66,53,26,76,90
520,52,52,67,54,33,78,89
521,54,44,57,55,34,83,87
522,45,50,60,49,35,86,95
523,51,46,68,65,34,86,91
524,42,44,63,62,37,80,94
525,52,51,57,55,28,73,86
526,48,42,56,52,35,78,86
527,48,41,58,57,39,86,88
528,45,46,75,51,48,79,92
529,39,53,66,55,42,83,89
530,50,53,69,46,32,74,88
531,48,50,66,53,37,78,84
532,44,48,69,50,35,81,90
533,50,50,65,56,31,80,93
534,46,53,69,52,31,72,90
535,58,53,67,56,41,83,85
536,43,49,71,56,33,82,88
537,45,47,60,64,29,77,89
538,49,50,63,54,42,82,90
539,34,40,52,46,36,71,88
540,52,45,54,58,34,75,82
541,37,50,65,59,40,80,88
542,38,41,65,63,31,80,93
543,45,46,76,60,32,68,87
544,53,54,56,59,47,85,90
545,46,50,57,56,42,88,88
546,48,49,73,66,30,80,94
547,45,46,62,61,38,83,86
548,44,50,61,60,36,90,95
549,43,44,66,57,35,77,82
550,48,44,64,54,38,83,87
551,42,51,70,65,30,82,85
552,44,49,58,57,33,77,91
553,50,47,55,48,39,81,88
554,46,43,64,63,33,78,92
555,56,40,61,61,35,78,86
556,44,51,63,61,31,80,86
557,50,52,55,46,35,84,92
558,45,51,63,53,41,76,85
559,42,50,59,58,31,77,92
560,47,49,59,56,31,71,87
561,45,37,59,62,27,63,85
562,41,42,62,53,38,69,85
563,32,47,61,56,29,74,95
564,36,48,59,52,32,80,90
565,55,45,60,46,37,80,92
566,54,46,62,56,33,79,94
567,46,45,59,63,36,81,90
568,42,46,59,49,37,80,85
569,38,45,59,58,25,77,94
570,39,45,66,54,39,77,91
571,33,45,61,54,40,80,86
572,44,55,67,52,40,78,93
573,39,46,60,49,34,76,90
574,45,46,63,59,31,75,87
575,44,47,66,56,32,81,89
576,47,45,58,51,35,82,86
577,40,48,60,55,37,74,86
578,44,41,66,65,25,73,93
579,48,45,65,55,34,74,92
580,41,44,66,56,37,80,85
581,44,43,68,64,25,77,94
582,38,55,68,55,36,75,92
583,45,58,69,59,31,73,91
584,52,47,63,58,39,79,94
585,50,48,52,52,27,74,84
586,44,47,63,54,30,77,93
587,47,40,64,59,35,72,92
588,46,49,76,53,36,77,88
589,44,47,65,50,45,84,92
590,42,43,65,46,36,72,86
591,49,51,66,59,39,73,84
592,40,46,60,51,35,80,94
593,38,45,62,56,40,80,84
594,52,50,59,57,36,75,88
595,49,49,72,57,39,78,91
596,47,51,64,57,44,86,91
597,52,57,55,61,39,80,88
598,40,42,65,49,37,76,85
599,45,44,62,59,35,77,86
600,44,53,66,63,37,77,91
601,42,42,59,54,27,75,93
602,40,46,62,59,41,86,86
603,48,49,67,56,40,78,89
604,52,51,66,53,40,80,94
605,47,44,71,57,30,73,84
606,46,49,62,49,39,77,83
607,47,59,63,56,36,68,89
608,45,55,66,55,34,76,91
609,46,50,64,54,39,79,90
610,45,51,66,53,35,83,92
611,40,49,63,57,41,77,89
612,36,37,60,55,32,70,86
613,41,40,57,63,18,74,90
614,42,48,58,54,41,71,91
615,41,60,58,50,48,77,86
616,51,56,79,57,31,80,81
617,48,50,56,52,38,77,84
618,50,45,58,49,33,72,91
619,45,61,65,66,43,88,89
620,51,45,64,59,30,81,91
621,43,47,64,51,36,72,87
622,41,44,66,61,35,65,88
623,45,42,61,60,35,84,92
624,51,49,61,60,38,81,90
625,39,50,70,58,35,72,89
626,55,48,52,53,37,79,87
627,43,39,70,54,28,77,95
628,47,47,64,57,43,83,90
629,49,58,67,47,40,80,93
630,50,51,69,58,23,72,90
631,47,54,54,55,43,84,92
632,47,47,62,64,40,82,90
633,47,49,66,56,25,72,87
634,55,51,55,52,48,80,85
635,45,46,66,56,36,74,89
636,42,43,60,50,33,79,92
