,a(p(SOS)),a(p(Ras)),a(p(PI3K)),a(p(AKT)),a(p(Raf)),a(p(Mek)),a(p(Erk))
1683,48,43,61,63,32,73,87
1684,59,55,56,50,35,84,92
1685,39,53,64,56,38,75,90
1686,46,49,68,56,37,76,82
1687,42,38,63,42,37,73,91
1688,34,46,67,62,28,79,91
1689,49,51,64,54,35,77,89
1690,46,46,73,51,47,85,89
1691,46,45,67,59,32,82,87
1692,48,50,66,51,32,75,85
1693,40,46,70,63,36,78,84
1694,50,47,64,56,33,81,90
1695,36,49,58,61,41,78,90
1696,44,61,75,54,50,79,87
1697,48,36,58,56,35,79,90
1698,44,43,71,57,27,74,87
1699,45,46,70,60,41,77,92
1700,44,50,66,48,35,73,90
1701,48,46,55,54,35,86,91
1702,48,50,68,56,38,83,88
1703,45,44,65,64,40,84,89
1704,51,45,70,60,28,77,92
1705,53,40,66,65,37,71,90
1706,44,52,65,63,34,81,84
1707,49,48,67,53,35,80,86
1708,52,55,58,52,42,72,93
1709,47,46,65,48,34,74,91
1710,44,51,62,56,38,77,87
1711,45,44,68,60,29,78,90
1712,50,49,59,51,37,77,85
1713,43,51,57,54,44,79,88
1714,50,45,60,52,34,76,92
1715,37,49,58,51,42,87,87
1716,37,47,63,63,30,71,88
1717,40,45,54,50,24,74,89
1718,44,46,78,65,39,73,85
1719,54,54,68,63,29,74,87
1720,33,39,60,57,29,76,84
1721,48,47,66,60,30,76,94
1722,44,51,62,59,37,78,91
1723,38,42,60,60,33,81,92
1724,43,55,67,57,45,83,91
1725,45,51,66,66,31,80,87
1726,56,56,64,68,37,81,84
1727,38,44,63,49,39,78,91
1728,46,55,62,48,47,77,88
1729,47,38,67,57,33,78,90
1730,50,48,59,65,31,75,89
1731,42,42,61,53,28,72,86
1732,47,52,52,58,42,81,90
1733,46,49,63,55,29,77,95
1734,44,51,58,51,40,72,84
1735,53,53,68,55,30,77,82
1736,43,37,64,50,34,75,90
1737,46,38,55,58,41,85,89
1738,43,48,67,60,39,88,84
1739,53,51,64,53,32,77,91
1740,47,40,60,50,39,82,91
1741,45,50,48,53,37,74,92
1742,48,48,53,46,33,76,84
1743,44,55,66,60,40,83,86
1744,35,48,65,56,37,75,89
1745,52,50,71,59,36,79,91
1746,44,39,63,59,35,87,93
1747,50,54,68,60,38,74,87
1748,45,44,64,56,32,78,82
1749,45,48,70,52,28,72,78
1750,45,52,63,55,41,77,89
1751,45,55,70,66,40,79,92
1752,47,45,68,55,33,85,82
1753,39,52,61,55,31,76,88
1754,49,56,61,52,38,83,87
1755,46,51,58,49,43,80,90
1756,45,52,62,61,43,80,91
1757,42,49,70,46,38,83,89
1758,41,47,61,71,31,73,91
1759,53,46,62,50,40,74,83
1760,52,50,57,55,33,66,88
1761,51,49,67,54,26,80,88
1762,38,55,60,53,38,75,88
1763,44,48,62,57,41,84,86
1764,54,47,67,55,29,76,88
1765,43,44,60,48,42,80,89
1766,41,40,63,61,36,90,83
1767,46,39,60,61,33,75,85
1768,55,51,62,54,34,79,88
1769,46,46,68,63,30,80,88
1770,41,48,68,62,38,79,92
1771,42,48,58,57,48,74,95
1772,53,55,58,51,41,88,90
1773,32,42,63,56,28,81,90
1774,53,58,73,47,47,87,94
1775,41,33,59,54,26,77,87
1776,43,52,66,60,34,86,91
1777,47,57,51,53,32,73,88
1778,43,52,63,52,40,79,86
1779,49,50,60,54,42,80,92
1780,42,45,56,57,21,67,89
1781,52,47,61,60,34,78,89
1782,49,48,68,59,35,76,85
1783,46,51,63,62,34,81,89
1784,50,41,65,59,45,78,91
1785,53,56,63,54,46,83,88
1786,57,58,61,57,44,79,94
1787,45,50,55,55,36,82,88
1788,38,48,68,48,39,73,85
1789,49,53,57,51,39,81,92
1790,35,46,67,60,42,79,83
1791,49,39,65,60,32,77,87
1792,42,50,64,57,30,82,95
1793,40,36,57,62,32,73,90
1794,46,51,67,50,34,87,87
1795,50,58,63,50,38,82,85
1796,45,46,61,69,28,76,88
1797,52,52,61,59,37,76,89
1798,49,46,59,53,40,82,87
1799,43,48,63,55,33,80,83
1800,54,48,60,46,32,65,88
1801,38,38,66,58,29,76,95
1802,41,42,57,57,34,75,90
1803,47,51,60,58,45,84,86
1804,55,52,71,68,30,74,90
1805,48,42,64,58,29,85,89
1806,57,59,66,51,40,74,85
1807,45,61,64,66,35,86,91
1808,40,59,65,56,48,82,93
1809,44,48,65,56,36,85,93
1810,41,44,64,50,43,80,94
1811,50,52,60,59,37,76,90
1812,39,41,57,59,40,81,89
1813,40,56,70,67,40,77,93
1814,40,54,68,61,46,79,86
1815,46,51,63,53,39,80,93
1816,41,49,72,60,41,74,87
1817,51,47,77,57,36,74,88
1818,40,47,66,48,30,77,94
1819,42,42,62,54,34,74,88
1820,47,39,66,55,35,72,85
1821,41,45,72,60,29,73,92
1822,48,46,58,57,47,87,91
1823,35,53,64,56,31,72,88
1824,52,61,66,46,35,81,93
1825,47,42,64,61,33,72,85
1826,47,41,59,59,34,74,88
1827,39,51,63,62,34,80,91
1828,43,49,61,59,37,79,83
1829,44,43,68,53,40,74,91
1830,45,38,60,54,39,75,85
1831,40,50,53,62,40,84,88
1832,50,49,67,62,33,82,87
1833,47,57,62,62,30,78,87
1834,41,45,72,62,38,81,89
1835,58,50,74,54,36,75,88
1836,38,47,64,54,38,78,89
1837,55,51,67,59,41,81,89
1838,42,47,67,67,34,79,87
1839,47,58,60,57,38,82,97
1840,50,48,63,56,34,73,89
1841,46,46,74,64,36,78,90
1842,42,45,66,61,33,76,81
1843,49,49,64,58,40,74,92
1844,49,45,59,56,28,80,89
1845,50,48,64,57,37,74,87
1846,50,51,68,60,27,78,87
1847,38,44,63,54,31,74,85
1848,49,45,68,54,39,76,88
1849,50,50,69,60,36,74,85
1850,38,54,64,57,50,81,91
1851,46,44,58,64,38,81,89
1852,41,46,63,60,31,73,91
1853,48,52,65,58,39,74,92
1854,46,46,75,59,43,83,92
1855,51,51,64,64,33,80,87
1856,51,45,56,61,35,80,87
1857,55,57,65,61,39,77,92
1858,49,45,61,61,36,75,90
1859,46,45,59,61,27,74,84
1860,57,50,65,52,38,88,90
1861,56,49,69,48,37,78,89
1862,51,57,73,56,35,73,91
1863,42,35,59,57,28,77,88
1864,57,53,65,59,32,80,91
1865,36,50,70,62,37,72,85
1866,49,42,61,63,26,69,82
1867,39,46,60,49,35,81,85
1868,48,45,65,59,28,78,87
1869,44,54,71,61,33,76,94
1870,55,55,76,54,38,84,86
1871,55,47,78,66,39,78,92
1872,48,47,65,56,37,85,88
1873,50,55,71,63,34,78,90
1874,37,41,63,41,31,72,88
1875,39,50,72,53,39,82,79
1876,41,45,67,59,34,82,92
1877,46,46,71,51,33,78,90
1878,36,48,68,57,34,71,86
1879,40,44,69,52,37,88,91
1880,54,50,62,62,24,73,92
1881,50,47,75,54,37,79,84
1882,45,45,64,52,24,67,86
1883,52,46,59,58,37,77,86
1884,41,34,61,57,28,76,88
1885,46,50,65,56,29,72,92
1886,49,50,65,53,37,80,88
1887,46,53,56,53,39,79,89
1888,47,48,58,42,38,80,91
1889,51,48,70,57,33,75,83
1890,44,55,70,57,36,81,91
1891,49,49,62,57,41,85,91
1892,39,49,69,62,33,76,89
1893,46,51,63,48,38,79,87
1894,50,54,74,57,40,84,92
1895,44,51,66,63,43,90,95
1896,52,48,64,58,34,77,93
1897,40,54,59,54,37,73,90
1898,55,51,71,62,25,75,85
1899,46,49,60,59,34,76,87
1900,44,55,69,55,37,83,90
1901,40,47,61,49,32,81,93
1902,40,35,67,54,39,85,90
1903,47,47,67,58,40,81,91
1904,47,57,63,59,40,83,91
1905,43,43,69,54,37,83,94
1906,44,52,67,65,35,75,84
1907,51,49,63,48,39,77,87
1908,59,49,58,47,41,76,89
1909,42,53,56,50,32,80,93
1910,50,46,69,50,35,82,89
1911,49,54,60,62,37,79,90
1912,40,47,69,48,45,81,91
1913,50,54,68,57,44,88,90
1914,56,50,64,52,30,72,87
1915,43,47,66,44,32,72,94
1916,47,47,70,58,37,77,90
1917,35,47,60,55,39,77,92
1918,42,53,66,63,40,83,93
1919,52,48,69,53,42,76,91
1920,46,48,72,63,34,82,85
1921,54,48,64,62,40,72,84
1922,33,42,67,63,28,75,88
1923,38,39,63,56,40,77,89
1924,48,44,68,52,33,79,91
1925,50,56,68,50,42,86,93
1926,41,46,67,60,35,84,89
1927,43,39,62,63,29,70,89
1928,50,47,68,68,28,67,88
1929,52,45,57,60,31,80,93
1930,45,45,60,52,35,80,90
1931,43,52,61,53,38,80,89
1932,46,48,76,60,38,87,88
1933,51,60,67,48,33,85,89
1934,43,42,72,49,35,72,90
1935,41,43,60,54,43,76,85
1936,48,43,63,51,32,80,90
1937,47,57,59,59,39,80,90
1938,45,46,57,53,35,72,89
1939,54,45,64,58,35,69,91
1940,47,55,70,53,39,80,92
1941,46,50,65,60,38,81,92
1942,43,56,56,57,36,75,90
1943,45,55,69,51,36,84,86
1944,44,46,56,60,38,83,86
1945,47,42,69,62,32,85,88
1946,43,55,69,58,31,80,92
1947,51,54,65,55,35,72,89
1948,57,49,73,55,33,72,89
1949,50,53,63,60,37,81,90
1950,48,59,71,62,37,80,83
1951,43,37,58,56,33,79,83
1952,44,55,63,55,34,77,92
1953,45,53,68,57,39,82,91
1954,44,53,67,53,39,85,95
1955,57,49,62,54,27,73,86
1956,52,57,68,47,31,74,88
1957,41,42,61,46,30,71,87
1958,46,52,65,55,45,81,91
1959,56,45,64,62,31,77,88
1960,54,51,67,62,30,76,91
1961,50,44,61,54,38,79,86
1962,41,38,65,47,35,76,90
1963,51,51,64,54,26,75,89
1964,54,55,60,56,38,79,87
1965,51,46,60,52,39,82,87
1966,55,55,66,52,37,80,93
1967,52,56,66,53,37,73,90
1968,52,43,68,50,34,71,85
1969,44,49,68,54,31,82,87
1970,47,49,63,56,30,79,91
1971,42,44,55,50,31,71,87
1972,49,38,55,51,40,83,93
1973,39,41,60,65,33,76,87
1974,42,47,59,59,38,76,89
1975,43,60,63,61,35,77,90
1976,33,44,62,58,31,75,85
1977,53,42,60,56,34,75,87
1978,50,48,59,55,35,83,93
1979,46,36,71,56,35,80,90
1980,34,37,63,54,31,76,87
1981,39,51,58,56,40,79,93
1982,43,36,65,53,36,82,91
1983,55,45,72,60,24,82,89
1984,44,50,62,51,49,81,90
1985,45,42,68,53,36,76,91
1986,42,44,65,51,35,79,90
1987,48,44,73,64,34,73,89
1988,51,45,75,61,35,76,89
1989,42,47,63,61,28,71,89
1990,49,45,71,65,29,74,88
1991,55,53,67,55,45,75,86
1992,50,44,62,54,35,82,91
1993,46,51,75,61,39,75,89
1994,44,56,68,53,39,77,89
1995,49,54,72,64,40,84,88
1996,45,50,54,51,32,79,84
1997,57,55,61,54,42,83,93
1998,54,39,65,49,36,80,86
1999,52,36,70,50,24,71,84
2000,53,54,60,62,37,74,85
2001,49,42,58,58,29,76,90
2002,39,50,64,65,29,79,92
2003,47,46,73,52,37,81,92
2004,49,47,61,51,34,71,87
2005,53,53,73,65,33,76,91
2006,49,58,62,56,34,77,87
2007,35,50,60,59,38,86,92
2008,43,40,63,72,30,78,90
2009,39,38,59,55,31,73,92
2010,46,45,56,53,23,80,91
2011,35,38,57,52,46,82,87
2012,41,46,73,62,35,85,86
2013,47,49,71,54,31,87,82
2014,55,55,62,53,46,87,88
2015,47,41,57,51,38,69,81
2016,48,45,71,63,40,78,96
2017,38,42,68,48,33,76,87
2018,51,44,69,62,36,74,85
2019,45,52,60,47,33,78,86
2020,40,48,67,53,35,74,90
2021,47,43,60,56,34,78,89
2022,50,45,72,59,28,77,89
2023,43,42,69,53,36,76,90
2024,43,52,64,52,31,77,84
2025,46,45,70,53,39,82,92
2026,49,50,70,55,37,80,87
2027,36,47,66,58,31,70,89
2028,53,44,67,61,34,72,88
2029,42,58,55,51,42,83,91
2030,49,43,59,54,28,74,92
2031,39,47,67,57,42,78,86
2032,35,40,70,55,40,86,91
2033,42,47,66,50,30,72,85
2034,38,47,55,53,33,79,88
2035,56,47,63,59,36,72,91
2036,45,47,68,53,34,69,90
2037,53,46,57,58,34,78,86
2038,43,50,62,40,41,77,84
2039,43,44,64,47,29,72,90
2040,40,48,60,57,29,72,89
2041,44,48,61,56,43,81,87
2042,47,52,71,55,44,83,87
2043,43,50,71,57,46,80,91
2044,43,41,64,56,29,83,88
2045,43,46,68,60,34,76,90
2046,52,57,66,59,30,80,91
2047,38,48,69,50,33,78,88
2048,40,50,66,55,42,79,84
2049,40,51,65,53,36,80,87
2050,59,54,63,56,44,85,89
2051,47,43,59,54,32,68,87
2052,36,41,60,61,26,71,88
2053,51,44,58,55,24,79,91
2054,49,57,71,49,45,86,85
2055,48,50,65,58,33,77,87
2056,49,60,63,55,39,80,86
2057,49,50,61,52,38,81,89
2058,40,39,61,54,40,80,86
2059,47,45,64,54,37,85,89
2060,54,48,66,46,36,81,91
2061,36,52,73,56,37,85,92
2062,40,48,63,54,43,76,84
2063,49,40,61,54,39,86,92
2064,43,52,68,52,40,82,93
2065,48,53,68,65,38,78,82
2066,42,41,65,60,39,81,87
2067,37,47,61,62,21,68,88
2068,47,44,63,57,34,75,84
2069,50,45,62,62,31,74,91
2070,43,44,72,55,40,75,89
2071,43,50,70,51,33,70,94
2072,56,55,74,61,36,73,84
2073,43,45,54,52,35,79,88
2074,59,48,68,55,37,81,86
2075,46,51,65,54,37,76,91
2076,50,45,69,57,38,79,86
2077,46,54,59,56,33,73,84
2078,45,44,63,58,29,78,89
2079,42,41,57,48,43,79,82
2080,46,46,65,60,29,77,86
2081,41,50,69,44,37,86,87
2082,45,43,63,62,32,75,85
2083,59,48,59,58,39,80,91
2084,41,43,62,48,29,79,89
2085,41,41,63,61,32,67,90
2086,48,51,62,64,34,74,87
2087,51,55,61,60,39,72,93
2088,38,48,57,54,36,74,83
2089,45,46,66,58,35,87,95
2090,41,41,61,48,32,79,86
2091,44,49,65,55,33,81,91
2092,43,44,67,55,29,78,89
2093,52,56,76,60,34,82,89
2094,47,47,64,53,39,80,90
2095,43,43,57,58,30,81,88
2096,36,51,65,54,34,83,88
2097,39,47,62,50,28,72,89
2098,36,43,64,56,33,74,84
2099,43,52,63,60,42,79,93
2100,46,52,54,45,39,82,83
2101,44,49,68,54,35,78,87
2102,42,48,66,54,36,73,80
2103,46,48,69,48,32,79,91
2104,46,57,62,55,45,82,90
2105,51,34,63,67,26,75,91
2106,53,50,70,51,33,86,87
2107,41,48,63,46,39,83,90
2108,48,44,60,51,28,80,92
2109,42,44,67,53,29,79,83
2110,46,43,64,48,31,82,85
2111,51,47,56,48,32,81,91
2112,47,43,69,58,36,76,90
2113,47,51,63,56,31,73,89
2114,45,42,60,63,28,78,85
2115,47,50,61,55,34,82,84
2116,40,48,65,46,42,77,83
2117,54,44,57,51,32,77,90
2118,53,52,60,55,41,75,91
2119,41,53,74,63,36,79,91
2120,40,50,72,50,36,80,85
2121,42,49,65,59,23,68,87
2122,46,48,64,57,28,75,88
2123,46,48,63,55,39,84,91
2124,56,41,55,52,41,82,88
2125,41,54,68,46,38,82,80
2126,45,53,70,62,32,77,88
2127,47,55,65,58,35,77,92
2128,47,44,66,54,33,83,86
2129,39,46,56,58,45,82,93
2130,49,46,65,69,32,76,91
2131,42,47,69,51,47,75,89
2132,49,45,64,63,31,82,89
2133,44,52,63,54,39,73,85
2134,50,42,57,56,30,81,89
2135,47,53,69,51,36,84,94
2136,52,53,72,61,38,76,93
2137,43,43,61,56,31,74,85
2138,51,55,67,52,46,77,90
2139,50,40,57,58,26,71,85
2140,48,45,69,61,30,72,90
2141,53,46,63,55,37,69,91
2142,44,52,65,51,33,74,87
2143,52,44,57,54,40,80,88
2144,43,46,64,56,40,74,86
2145,36,51,67,60,43,86,92
2146,30,28,60,55,28,81,83
2147,51,63,66,53,30,72,82
2148,48,52,67,60,32,75,86
2149,34,37,57,53,33,80,89
2150,38,53,59,58,31,72,86
2151,54,49,63,62,36,84,88
2152,49,51,61,58,38,77,90
2153,48,50,52,59,37,78,86
2154,44,49,67,43,33,82,92
2155,35,37,70,57,39,82,90
2156,42,51,69,63,37,73,85
2157,49,45,65,60,26,69,88
2158,47,40,63,50,31,81,96
2159,42,59,64,62,34,76,86
2160,43,42,64,67,36,79,89
2161,46,47,65,61,32,71,87
2162,39,45,63,54,35,77,85
2163,52,44,65,51,39,77,88
2164,55,49,64,59,36,78,92
2165,42,38,66,67,24,72,87
2166,48,48,67,55,37,83,85
2167,40,51,76,65,34,75,83
2168,46,42,66,57,43,83,85
2169,41,45,57,51,38,70,93
2170,47,48,69,65,36,76,88
2171,46,44,59,54,34,80,92
2172,48,56,65,54,29,70,92
2173,53,53,72,62,45,78,89
2174,47,46,65,74,29,74,88
2175,48,52,66,71,34,80,87
2176,45,50,59,52,36,81,89
2177,57,59,61,58,30,72,85
2178,45,41,60,53,31,80,88
2179,47,42,60,65,40,83,88
2180,38,41,63,60,30,75,90
2181,45,65,59,58,40,82,88
2182,41,48,70,63,35,79,90
2183,47,37,62,49,42,82,89
2184,47,36,60,57,25,72,87
2185,46,44,65,61,32,80,90
2186,41,38,67,48,28,84,95
2187,46,51,60,57,37,75,87
2188,46,49,65,55,30,74,88
2189,40,36,61,56,30,76,87
2190,47,56,74,56,36,80,89
2191,59,63,62,55,41,77,91
2192,46,43,70,56,36,80,88
2193,39,45,64,58,33,82,88
2194,47,49,68,48,39,82,86
2195,35,44,53,49,36,84,90
2196,38,53,66,60,42,70,90
2197,45,47,74,45,35,77,85
2198,45,36,59,52,33,79,86
2199,48,43,72,56,26,73,90
2200,43,40,71,66,32,81,90
2201,41,46,54,56,28,80,88
2202,40,55,73,63,44,77,93
2203,35,40,60,54,29,76,84
2204,44,44,73,60,45,86,91
2205,36,50,68,49,38,84,85
2206,48,49,62,48,34,67,89
2207,47,43,63,52,29,72,85
2208,42,41,68,53,46,74,89
2209,49,53,66,62,33,75,88
2210,54,47,62,54,39,77,86
2211,46,56,62,61,47,84,90
2212,47,44,65,57,31,78,92
2213,41,44,67,53,42,73,91
2214,50,40,70,55,26,74,87
2215,47,40,63,60,38,77,88
2216,48,59,68,68,44,85,94
2217,44,46,68,51,27,73,91
2218,42,57,74,61,41,81,84
2219,45,35,61,49,41,77,85
2220,38,40,65,58,28,79,89
2221,45,39,66,57,36,71,84
2222,38,53,66,56,38,81,86
2223,49,44,63,48,24,71,91
2224,42,43,64,56,44,75,88
2225,43,43,63,67,45,80,87
2226,42,36,54,61,35,79,93
2227,49,52,68,61,34,78,91
2228,44,48,69,60,32,73,88
2229,46,53,64,56,42,81,92
2230,41,40,56,46,35,75,88
2231,52,58,60,63,36,71,88
2232,54,39,68,62,32,76,84
2233,46,53,66,54,33,75,87
2234,47,52,64,56,42,84,91
2235,48,56,69,54,34,82,85
2236,50,47,70,60,46,87,87
2237,53,47,68,61,38,82,94
2238,49,48,58,50,35,72,88
2239,43,42,68,59,30,75,94
2240,40,47,66,49,36,77,88
2241,56,44,57,60,28,69,89
2242,40,45,64,59,35,74,86
2243,42,46,64,54,28,70,85
2244,51,51,68,61,41,85,84
2245,41,50,68,58,37,83,87
2246,44,49,71,61,43,81,94
2247,38,37,67,64,35,80,88
2248,48,43,56,57,32,78,87
2249,52,54,61,56,33,75,92
2250,43,39,57,56,33,83,92
2251,47,47,61,58,41,78,91
2252,38,44,60,59,35,84,90
2253,52,49,69,57,35,76,88
2254,52,47,61,53,36,85,87
2255,50,44,56,50,35,79,88
2256,35,43,63,58,28,73,89
2257,40,47,60,49,37,83,89
2258,40,50,67,61,38,78,91
2259,46,49,61,57,39,82,89
2260,49,47,64,61,42,84,89
2261,50,49,67,51,45,83,93
2262,49,55,66,48,37,80,93
2263,45,50,63,54,45,74,90
2264,48,49,71,55,32,81,86
2265,48,49,70,52,44,72,82
2266,43,58,67,52,46,79,94
2267,50,54,63,49,43,74,90
2268,44,57,66,58,35,75,93
2269,58,46,56,63,33,77,86
2270,37,50,71,58,34,78,92
2271,44,50,63,57,37,78,94
2272,37,45,60,53,32,75,93
2273,40,39,64,57,33,77,85
2274,42,41,59,47,35,81,90
2275,47,41,73,60,34,85,92
2276,50,54,60,59,47,82,92
2277,44,51,58,52,36,74,83
2278,51,54,60,55,37,79,89
2279,50,49,59,62,37,90,88
2280,36,53,60,59,35,82,89
2281,50,45,57,51,31,76,85
2282,37,48,68,43,36,85,89
2283,50,47,64,60,38,77,88
2284,45,40,67,57,36,78,90
2285,44,49,70,49,31,79,84
2286,41,45,61,50,39,77,96
2287,41,47,71,65,28,74,89
2288,43,56,72,59,40,77,86
2289,53,42,54,56,29,77,88
2290,59,58,68,51,45,85,92
2291,50,46,67,60,25,77,94
2292,48,45,67,57,27,71,85
2293,38,42,61,53,33,78,89
2294,44,45,61,54,40,82,93
2295,53,51,67,57,34,79,86
2296,50,62,71,62,33,76,86
2297,50,52,73,51,35,76,91
2298,43,45,52,55,36,75,86
2299,43,49,66,51,29,76,86
2300,43,51,67,57,33,78,90
2301,53,50,71,51,41,83,88
2302,48,46,58,57,37,80,81
2303,50,49,59,58,44,84,83
2304,45,41,62,54,37,85,91
2305,45,49,71,63,36,72,90
2306,46,37,70,57,39,80,88
2307,41,47,67,56,29,81,90
2308,58,52,57,56,50,84,89
2309,46,51,58,53,25,73,90
2310,40,45,73,59,29,81,93
2311,48,48,63,55,36,79,85
2312,48,37,55,60,32,77,88
2313,50,50,63,58,37,74,84
2314,34,43,66,50,35,81,90
2315,45,44,62,54,35,82,87
2316,51,50,62,57,36,78,90
2317,51,41,64,56,20,71,80
2318,46,55,66,53,45,84,93
2319,42,47,72,57,37,75,86
2320,46,39,71,56,40,83,93
2321,44,49,57,55,32,71,90
2322,53,49,57,63,36,69,90
2323,48,50,65,53,32,85,85
2324,53,52,59,51,44,84,94
2325,50,50,63,53,33,78,83
2326,38,40,73,50,35,77,85
2327,45,54,64,55,35,79,91
2328,51,53,56,56,31,75,90
2329,43,47,66,59,40,76,83
2330,45,49,68,50,34,70,89
2331,38,45,63,72,35,85,94
2332,40,42,66,52,38,74,89
2333,46,43,58,53,28,81,91
2334,46,41,69,50,31,80,90
2335,48,51,70,56,37,80,84
2336,44,49,66,64,35,89,94
2337,47,51,60,52,37,82,86
2338,44,43,67,56,39,79,83
2339,51,34,61,63,39,72,88
2340,41,43,56,55,33,71,90
2341,45,58,74,56,50,83,83
2342,43,50,58,64,37,75,86
2343,45,46,55,63,35,75,82
2344,44,48,67,63,33,72,90
2345,44,46,66,51,33,77,96
2346,46,52,60,54,36,72,89
2347,43,39,60,51,34,79,91
2348,43,46,58,57,40,82,88
2349,42,56,68,61,32,78,88
2350,51,42,71,56,36,78,92
2351,49,48,58,58,38,79,88
2352,39,52,61,57,40,82,94
2353,48,49,60,59,29,79,88
2354,52,43,56,50,34,72,84
2355,49,58,62,56,39,84,93
2356,51,53,63,57,31,75,93
2357,45,46,57,52,41,81,89
2358,52,53,66,59,38,79,92
2359,39,37,65,63,31,79,94
2360,47,53,68,51,44,85,86
2361,53,60,60,59,47,83,92
2362,49,46,61,54,40,79,87
2363,52,52,66,48,34,76,86
2364,45,54,61,56,38,82,90
2365,41,49,60,56,43,81,92
2366,45,49,65,58,44,77,89
2367,51,55,65,53,33,67,88
2368,49,53,64,56,44,84,93
2369,47,54,67,55,37,79,88
2370,49,55,63,48,43,82,97
2371,45,44,63,55,34,79,86
2372,38,38,59,45,33,91,89
2373,48,50,67,58,36,73,93
2374,45,48,70,55,43,86,93
2375,55,55,63,59,31,72,96
2376,47,48,64,62,36,75,83
2377,44,57,70,51,37,72,85
2378,56,45,57,58,28,80,89
2379,47,51,75,62,36,75,85
2380,40,50,64,52,38,76,91
2381,56,48,58,53,35,76,90
2382,43,39,62,60,29,67,81
2383,41,46,79,63,30,82,90
2384,46,48,60,64,40,75,85
2385,44,42,62,59,32,80,86
2386,48,38,59,58,27,74,87
2387,46,40,61,50,33,80,90
2388,49,54,63,56,29,88,96
2389,47,51,62,58,30,81,89
2390,49,46,55,47,28,74,88
2391,55,52,58,53,37,83,92
2392,43,49,57,52,33,74,90
2393,44,42,60,49,30,73,87
2394,42,44,69,65,36,82,89
2395,55,43,63,52,29,74,84
2396,42,49,67,48,32,82,89
2397,48,44,62,55,39,91,92
2398,47,43,65,67,41,78,92
2399,44,40,61,63,27,71,91
2400,45,51,60,60,28,66,90
2401,44,45,54,57,32,78,95
2402,43,53,63,56,32,75,92
2403,39,50,67,64,33,75,84
2404,40,39,60,52,33,78,86
2405,45,34,67,60,22,69,93
2406,49,51,63,60,36,80,89
2407,37,44,61,56,35,80,92
2408,43,41,70,58,32,79,91
2409,48,46,62,55,32,76,84
2410,48,43,66,61,35,81,92
2411,50,57,73,58,39,81,89
2412,46,46,75,54,38,76,92
2413,48,47,64,53,41,78,88
2414,42,49,69,54,37,74,85
2415,49,49,59,55,39,84,91
2416,44,47,57,44,43,83,95
2417,46,50,55,53,37,86,89
2418,49,46,60,56,38,80,89
2419,52,46,59,48,34,81,91
2420,53,36,64,53,26,80,84
2421,44,43,65,46,43,88,88
2422,46,53,56,51,36,76,90
2423,46,55,69,59,45,83,86
2424,47,49,67,68,30,77,90
2425,48,47,61,56,30,76,88
2426,43,49,66,54,37,77,93
2427,43,45,67,62,38,80,90
2428,48,49,68,57,36,73,83
2429,50,48,67,65,35,74,88
2430,47,48,55,63,38,82,81
2431,45,34,64,56,36,85,87
2432,39,43,62,60,35,82,89
2433,41,50,68,62,35,72,84
2434,49,58,61,52,42,78,91
2435,46,48,67,58,47,81,92
2436,42,43,64,53,28,76,88
2437,44,49,64,57,28,71,92
2438,56,52,63,63,37,77,83
2439,40,47,67,59,38,76,86
2440,45,42,60,47,52,82,95
2441,46,55,64,52,40,71,88
2442,45,55,66,53,48,74,89
2443,50,49,56,56,37,78,94
2444,49,43,64,59,36,75,89
2445,51,60,64,60,40,71,85
2446,48,40,66,60,31,77,84
2447,44,46,60,50,28,79,92
2448,43,50,65,55,27,71,87
2449,38,56,57,52,39,78,90
2450,45,43,66,58,24,75,91
2451,47,57,63,60,44,77,88
2452,41,38,57,49,32,80,92
2453,43,41,61,53,35,82,89
2454,49,54,64,57,32,70,86
2455,40,50,57,51,44,81,90
2456,45,41,66,62,28,73,86
2457,54,47,60,63,35,80,86
2458,51,57,65,54,42,73,82
2459,43,52,58,67,42,75,92
2460,53,48,59,52,29,77,85
2461,40,47,68,52,35,80,81
2462,43,56,68,49,33,72,92
2463,43,45,65,66,31,73,91
2464,48,50,73,59,42,81,87
2465,33,49,56,50,29,66,88
2466,32,55,59,56,44,81,88
2467,47,55,55,52,41,87,94
2468,46,49,67,55,32,79,95
2469,49,41,57,48,38,78,92
2470,41,50,57,58,32,75,87
2471,47,44,65,46,33,77,92
2472,43,62,67,57,41,84,88
2473,47,47,60,51,37,70,81
2474,45,40,56,58,33,77,92
2475,50,50,59,60,36,76,94
2476,45,43,59,62,32,74,90
2477,53,53,59,54,34,76,94
2478,39,50,73,57,42,84,92
2479,50,50,82,56,34,79,90
2480,43,46,65,56,30,76,93
2481,47,42,69,56,40,80,84
2482,48,50,71,65,39,79,91
2483,43,49,61,59,32,77,90
2484,51,43,66,56,39,81,90
2485,53,55,70,60,40,81,93
2486,45,47,58,60,36,81,85
2487,51,36,63,58,34,79,86
2488,42,42,61,58,34,76,91
2489,44,44,59,57,32,85,97
2490,51,49,58,48,36,77,88
2491,44,50,62,52,41,80,96
2492,37,46,64,52,37,80,90
2493,45,42,58,59,33,86,94
2494,49,44,68,57,34,76,81
2495,49,42,71,53,35,72,87
2496,40,40,62,54,39,82,83
2497,44,53,66,62,35,84,90
2498,45,45,63,53,37,86,86
2499,47,44,65,46,30,82,84
2500,52,47,68,57,34,79,92
2501,50,41,59,44,38,81,88
