,a(p(Erk))
121,-5.320869445800781
122,0.5470123291015625
123,-5.525848388671875
124,-18.60236358642578
125,-4.7929534912109375
126,-12.562103271484375
127,-16.979751586914062
128,-10.790451049804673
129,-14.867599487304688
130,-1.9293746948242188
131,-8.310302734375
132,-8.335487365722656
133,-10.698539733886733
134,-15.209457397460938
135,-10.986221313476562
136,-11.244743347167969
137,-12.581138610839844
138,-1.082000732421875
139,-12.707473754882812
140,-9.163162231445312
141,-10.80987548828125
142,-8.509712219238281
143,-8.784858703613281
144,-10.219429016113281
145,-11.439559936523438
146,-5.429908752441406
147,-4.907554626464844
148,-7.81988525390625
149,-8.531112670898423
150,-8.697761535644531
151,-17.056411743164062
152,-11.422294616699233
153,-10.378837585449219
154,-13.204757690429688
155,1.8287887573242188
156,2.7415542602539062
157,-11.556594848632812
158,-11.370361328125
159,-9.592330932617188
160,-2.3130340576171875
161,-15.766189575195312
162,-14.17578125
163,-9.497764587402344
164,-8.3758544921875
165,-9.881828308105469
166,-7.4352569580078125
167,-6.97235107421875
168,-13.524253845214844
169,-8.628868103027344
170,-6.394920349121094
171,-6.505622863769531
172,-2.8262557983398438
173,-0.572601318359375
174,-5.445655822753906
175,-2.4589691162109375
176,-5.468894958496094
177,-16.583465576171875
178,-5.5308685302734375
179,-13.632736206054688
180,-7.583526611328125
181,-12.277893066406264
182,-12.166328430175781
183,-9.343994140625
184,-6.544563293457031
185,-16.49046325683595
186,-5.175788879394531
187,-5.383491516113281
188,-1.1890640258789062
189,-2.72802734375
190,-14.843605041503906
191,-2.85089111328125
192,-12.572853088378906
193,-16.71221923828125
194,-1.0298538208007812
195,-6.098014831542969
196,0.7614212036132812
197,-17.11248016357422
198,-7.46844482421875
199,-9.819297790527358
200,-7.951141357421875
201,-12.20849609375
202,-12.218132019042969
203,-8.197212219238281
204,-9.704444885253906
205,-12.894332885742173
206,-14.62890625
207,-10.539726257324219
208,-7.234764099121094
209,-10.524551391601562
210,-3.5431442260742188
211,1.466766357421875
212,-17.826431274414062
213,-8.116371154785156
214,0.87078857421875
215,-17.698905944824233
216,-4.176689147949219
217,-7.016548156738281
218,-12.953147888183594
219,-11.2552490234375
220,-7.386032104492202
221,-12.15496826171875
222,-4.615760803222656
223,-1.908477783203125
224,-2.10150146484375
225,-8.011070251464844
226,-1.0770797729492188
227,-3.88909912109375
228,-3.325958251953125
229,-7.210365295410156
230,-8.810546875
231,-8.176025390625
232,-11.688949584960938
233,-4.911224365234375
234,-8.137901306152344
235,-13.80816650390625
236,-2.4364166259765625
237,-7.940818786621094
238,1.2740631103515625
239,-6.441169738769531
240,-3.3413772583007812
241,-3.7323989868164062
242,-16.011398315429688
243,-6.286315917968736
244,-2.4640884399414062
245,-8.082046508789062
246,-12.144409179687514
247,-10.194145202636719
248,-3.8618240356445312
249,-7.479225158691406
250,-8.060295104980469
251,-14.504447937011705
252,-14.474563598632812
